asof,ticker,name,score,actual_return_pct,ai_verdict,ai_confidence,ai_reasoning,ai_red_flags,n_disclosures,tokens
20260415,375500,DL이앤씨,84.89452807760381,-3.4146341463414664,CAUTION,0.7,"단일판매공급계약 해지(4/13)와 풍문해명 공시(4/1)가 동시 출현했고, 3/31 특수관계인 자금대여 3건·금전대여결정 2건이 집중 발생했다. 거버넌스/계약 안정성 측면 부분적 우려가 있어 매수는 허용하되 경고 표시.",공급계약 해지 (4/13); 풍문 또는 보도에 대한 해명 (4/1); 특수관계인 자금대여 3건 + 금전대여결정 2건 동시 발생 (3/31),20,42408
20260410,375500,DL이앤씨,86.10782848288834,4.761904761904767,CAUTION,0.65,"30일 내 특수관계인 자금대여 3건·금전대여 2건·계열사 상품용역거래 등 내부거래성 공시가 집중되었고, 풍문해명 공시까지 동반되어 거버넌스 측면 주의가 필요하다. 다만 모두 risk null의 일반 공시이고 모멘텀·퀄리티 팩터는 견조해 REJECT까지는 과한 판단이다.",특수관계인 자금대여 3건 동시 공시(20260331); 금전대여결정 2건; 동일인 출자 계열사와의 상품·용역거래; 풍문 또는 보도에 대한 해명(20260401); mean_reversion 10점 — 과열 구간 시사,19,43845
20260410,007340,DN오토모티브,82.33639239079208,28.71287128712872,PASS,0.82,최근 30일 공시는 사업보고서·감사보고서·정기주총·배당·IR 등 3월 결산 정기 사이클 항목으로만 구성되어 있고 위험 분류된 공시가 없다. 대량보유보고서도 '일반' 변경으로 거버넌스 위험 신호로 보기 어렵다.,,10,42444
20260405,375500,DL이앤씨,84.19583071751347,25.77720207253885,CAUTION,0.65,"3월 31일 하루에 특수관계인 자금대여 3건과 금전대여결정 2건, 계열사 상품·용역거래 공시가 집중되었고 4월 1일 풍문 해명 공시까지 동반되어 거버넌스·자금 유출 측면의 정성적 모니터링이 필요하다. 다만 risk 플래그된 항목이 없고 감사·횡령·불성실공시 등 결정적 신호는 부재해 REJECT 수준은 아니다.",특수관계인 자금대여·금전대여결정 5건이 동일자(2026-03-31) 집중; 풍문 또는 보도에 대한 해명 공시(2026-04-01); 단일판매·공급계약 기재정정 2건; 동일인 계열사 간 상품·용역 거래 공시,17,44475
20260331,120110,코오롱인더,84.33466728469708,30.136986301369863,PASS,0.72,"위험 분류된 공시 없음. 대표이사·사외이사 변경, 사업보고서 기재정정 등은 모두 정기주총 사이클의 통상적 거버넌스 이벤트이며, 기업가치제고계획 자율공시는 오히려 긍정적 신호다.",사업보고서 기재정정(감사 후 정정 — 통상적이나 모니터링 필요); 대표이사 변경 + 사외이사 변동 동시 발생,9,44028
20260331,375500,DL이앤씨,84.2746723819957,46.032934131736525,CAUTION,0.62,"3/31 하루에 금전대여결정·특수관계인 자금대여·계열사 상품용역거래 공시가 집중 발생했고, 단일판매·공급계약 기재정정이 2건 있어 거버넌스/공시 정확성에 부분적 우려가 있다. DART risk 분류는 null이지만 관계사 자금이동 패턴은 주의 신호다.","동일 일자(2026-03-31) 특수관계인 자금대여 공시 3건 + 금전대여결정 2건 집중; 동일인 출자 계열회사와의 상품·용역거래 공시; 단일판매·공급계약 기재정정 2건 (3/17, 3/26); 사업보고서 첨부정정",13,44401
20260331,456040,OCI,77.51768598393085,39.52127659574468,PASS,0.78,"최근 30일 공시는 정기주총·사업보고서·감사보고서 등 3월 결산법인 정례 항목으로 risk 플래그가 모두 null이며, 거버넌스·공시 측면의 구조적 위험 신호가 보이지 않는다.",,7,42011
20260326,375500,DL이앤씨,83.4810971811201,45.18072289156627,PASS,0.72,"최근 30일 공시는 사업보고서, 감사보고서, 정기주총, 공급계약 등 정상 운영 흐름이며 위험 분류 항목 없음. 거버넌스/구조적 적신호 미관찰.","단일판매ㆍ공급계약체결 기재정정 공시가 30일 내 3건(2/27, 3/17, 3/26)으로 다소 빈번 — 계약 조건 변경/조정 가능성",13,42472
20260316,088350,한화생명,84.58183755560331,2.0191285866099973,PASS,0.78,30일 공시 전부 정기보고서·주총소집·지배구조보고서 등 루틴 항목이며 risk 플래그 없음. 품질(95)·저변동성(95.5) 중심의 안정적 대형 보험주로 정성적 거부 사유 부재.,2026-02-25 매출/손익구조 변경 기재정정(자율) — 단 '30%(15%)미만' 변경으로 경미,13,43169
20260311,009830,한화솔루션,90.91992621436994,-5.252918287937747,CAUTION,0.7,"2026-02-26 중대재해발생 공시는 중대재해처벌법상 실질 리스크(경영책임자 처벌·작업중지명령 가능성)로 무시 불가하며, 주총 관련 기재정정 4건의 반복은 공시 품질 관점에서 부수적 우려를 더한다. 다만 대형 산업주의 단발 사고로 즉각적 구조 훼손은 아니므로 차단보다는 경고가 적절하다.",중대재해발생 공시(2026-02-26) - 중대재해처벌법 적용 가능성; 주주총회 관련 문서 기재정정 4건 반복 - 공시 정확성 우려,18,44258
20260311,088350,한화생명,82.35672499174642,-5.882352941176472,PASS,0.72,"최근 30일 공시 모두 risk=null로 정기 주총·지배구조보고서·잠정실적 등 루틴 공시이며, 거버넌스/구조적 위험 신호 없음. 특수관계인 수익증권거래는 그룹사 보험업 정상 거래 패턴.",[기재정정] 매출액/손익구조 변경 자율공시 존재 — 다만 30% 미만 정정으로 경미; 특수관계인과의 수익증권거래 — 한화그룹사 간 정상거래로 추정되나 모니터링 필요,11,43407
20260306,009830,한화솔루션,85.31092767783102,-5.984555984555984,CAUTION,0.7,"2026-02-26 중대재해발생 공시는 ESG·평판·잠재 과징금 측면의 명확한 부정 신호이며, 주총소집공고·의결권대리행사 참고서류가 단기간(2/23~3/6)에 4회 기재정정된 점은 IR/거버넌스 정확성에 의문을 남긴다. 다만 결정적 회계·상장적격성 이슈는 아니므로 매수를 차단할 정도는 아니나 경고가 필요하다.",중대재해발생 공시(2026-02-26); 주총 관련 서류 단기간 다수 기재정정(거버넌스 신뢰성 저하),20,42967
20260306,088350,한화생명,82.55980328262514,-3.030303030303028,PASS,0.72,"최근 30일 공시 11건 모두 risk null로 분류되었고, 주총소집·IR·잠정실적·지배구조보고서 등 정기성 거버넌스/실적 공시 위주이다. 손익구조 변경도 30% 미만(자율공시)이며 구조적 위험 신호는 식별되지 않는다.",특수관계인과의 수익증권거래(자율공시) — 거래 규모/조건 미공개라 잠재적 거버넌스 모니터링 필요; [기재정정] 손익구조 변경 자율공시 — 정정 사유에 따라 보고품질 의문 여지,11,43562
20260306,096770,SK이노베이션,80.57615288280098,-9.84787830264211,PASS,0.72,최근 30일 공시는 주총 소집·계열사 거래·전환청구권 행사 등 정기·관행적 항목이며 risk 분류된 항목이 없다. 거버넌스/구조적 위험 신호는 부재.,"기재정정 공시 3건(자회사 타법인주식 처분/취득, 유형자산 처분) — 단순 정정이지만 공시 정확성 측면에서 경미한 우려; 전환청구권 행사 — 잠재 희석 요인이나 SK이노베이션 규모상 영향 제한적",12,43817
20260224,088350,한화생명,85.2624805169551,-9.680451127819545,PASS,0.75,최근 30일 공시는 잠정실적·IR개최·손익구조 30% 미만 변경 등 모두 정기·routine 항목이며 risk 플래그된 항목 없음. 거버넌스·공시 측면 red flag 부재.,,4,42005
20260224,009830,한화솔루션,84.5557674814693,-5.009823182711203,CAUTION,0.7,"30일 내 자기주식처분 결정 및 결과보고가 연속 공시되어 단기 매도 오버행 요인이 존재하나, '결과보고서' 단계로 이미 시장에 반영되었을 가능성이 크고 거버넌스·감사·횡령 등 구조적 위험 신호는 부재함.",자기주식처분결과보고서(20260128); [기재정정]주요사항보고서(자기주식처분결정)(20260127) - 자기주식 관련 정정; 최대주주 등 소유주식 변동(20260210) - 변동 사유 미확인,25,43787
20260219,009830,한화솔루션,83.82946704200288,-9.401709401709402,CAUTION,0.62,"최근 30일 내 자기주식처분 관련 공시 3건(정정 1건 포함)으로 단기 수급 부담이 존재하며, 매출·손익구조 30% 이상 변경 공시는 방향 미확인 상태로 실적 변동성 신호다. 거버넌스 red flag은 아니나 모멘텀 95·평균회귀 10의 과열 구간과 결합 시 위험 비대칭이 확대된다.",자기주식처분 관련 공시 반복(정정 포함); 손익구조 30%+ 변경 공시 — 방향 불명; 모멘텀 극단(95) + 평균회귀 최저(10) 과열 구간,25,44133
20260219,088350,한화생명,80.28662212752938,23.720472440944874,PASS,0.75,"30일 내 공시 2건 모두 위험 미분류이며, IR 개최와 자율공시(임계 미만 손익구조 변경)로 모두 정형적·투명성 목적의 공시다. 거버넌스/구조적 적신호 없음. 모멘텀·퀄리티 95로 맥락도 안정적이다.",,2,43584
20260214,009830,한화솔루션,85.32619638845723,-9.401709401709402,CAUTION,0.6,최근 30일 내 자기주식처분 관련 공시 3건과 손익구조 30% 이상 변경 공시가 동시에 나온 점은 방향성이 불분명하여 주의가 필요하다. 거버넌스 위반이나 명백한 부정 신호는 없으나 희석·실적 변동 가능성을 감안해 경고를 표시한다.,자기주식처분 결정 및 결과보고 (3건 연속); 매출액·손익구조 30% 이상 변경 공시 (방향성 불명),26,43752
20260209,456040,OCI,83.18749536709838,-5.867346938775508,PASS,0.72,"30일 공시 중 자기주식취득신탁계약은 주주환원 신호로 부정적이지 않고, 영업실적·30%이상 변경 공시는 모멘텀(87.5)과 수급(80.9) 강세로 미루어 긍정 방향일 개연성이 높다. 거버넌스·구조적 위험 신호는 발견되지 않음.",계열회사 상품·용역거래 변경(통상적 수준); 손익구조 30% 변경 공시 — 방향성 단정 불가,7,43493
20260209,009830,한화솔루션,82.93582918547581,16.87631027253669,CAUTION,0.65,"30일 내 자기주식처분 관련 공시(결정·정정·결과) 3건이 누적되어 단기 수급 오버행 우려가 있고, 2/5 손익구조 30% 이상 변경 공시는 실적 변동성을 시사함. 거버넌스·감리 이슈는 없어 REJECT 사유는 아니나 무위험 PASS도 어려움.",30일 내 자기주식처분 관련 공시 3건 누적 (수급 오버행 가능성); 손익구조 30% 이상 변경 공시 — 방향성 불분명한 실적 변동; mean_reversion 10점으로 이미 추세 끝단 가능성,18,44223
20260204,009830,한화솔루션,80.48129496751226,38.134430727023314,CAUTION,0.62,최근 30일 내 자기주식처분 결정→정정→결과보고가 연속 공시되었고 같은 시점에 임원·주요주주 소유상황보고 6건이 집중된 점이 주의 신호다. 다만 이미 처분결과까지 공시 완료되었고 명확한 거버넌스·감리·소송 리스크는 확인되지 않아 REJECT 수준은 아니다.,자기주식처분 관련 공시 3건 집중(risk='자기주식' 태깅); 임원·주요주주 소유상황보고 6건 단기간 집중; 계열사 상품·용역거래 변경 3건 — 내부거래 모니터링 필요,16,44298
