date,n_picks,portfolio_return_pct,kospi_return_pct,alpha_pct,port_cum,kospi_cum
2021-04-30,1,8.211586901763223,3.1631012815055204,5.048485620257702,1.0821158690176322,1.0316310128150552
2021-05-31,1,-12.734813369114416,2.8952033758645523,-15.630016744978969,0.9443104326606662,1.0614988287245424
2021-06-30,1,20.362473347547983,-2.862273560066486,23.22474690761447,1.1365953928293095,1.0311158284095443
2021-07-30,1,48.546466676975406,0.14676859277023002,48.39969808420518,1.688372296461228,1.032629182600732
2021-08-31,1,2.455477603885581,-9.094574699853409,11.55005230373899,1.7298299000710422,0.9387159502166229
2021-09-30,1,-9.467481696453861,-3.034065210732473,-6.433416485721388,1.5660585709020303,0.9102346961435036
2021-10-29,1,-8.764940239043828,-4.4323185263979825,-4.332621712645845,1.4287944730540434,0.8698901950726328
2021-11-30,1,4.681872749099636,4.883392450185098,-0.2015197010854619,1.4956888121286025,0.9123703471837101
2021-12-31,1,-6.108597285067874,-7.6365590314509735,1.5279617463830997,1.4043232059578508,0.8426966470355719
2022-01-31,1,-2.0538393272197086,-0.45168848138052997,-1.6021508458391787,1.3754806636726158,0.8388902833479323
2022-02-28,1,5.0001974801532345,1.506753903037228,3.4934435771160066,1.444257413157569,0.8515302954344773
2022-03-31,1,4.26531379180759,-2.545645749097969,6.810959540905559,1.5058595237901822,0.8298533506664681
2022-04-29,1,-10.71428571428571,-1.3380085712695666,-9.376277143016143,1.34451743195552,0.8187498417055831
2022-05-31,1,-2.359882005899705,-14.354964816262704,11.995082810363,1.3127884070126168,0.70121858999554
2022-06-30,2,-5.604990583804143,5.127666506619111,-10.732657090423253,1.2392067404142872,0.7371747407729281
2022-07-29,1,-6.431095406360421,0.8382622883948754,-7.269357694755296,1.1595121726561952,0.7433541986244002
2022-08-31,1,-10.59782608695652,-10.389352966161702,-0.2084731207948174,1.0366290891410006,0.6661245071405285
2022-09-30,1,-8.998144712430422,8.057564637275071,-17.055709349705495,0.943351703568944,0.7197979198681066
2022-10-31,0,0.0,7.800803100788722,-7.800803100788722,0.943351703568944,0.7759479383205906
2022-11-30,1,2.8921023359288034,-9.984105349581206,12.87620768551001,0.9706344002238856,0.6984764787007595
2022-12-30,2,6.253953130340934,10.395278125558939,-4.141324995218005,1.0313374206808532,0.7710850513033138
2023-01-31,1,-6.39386189258312,0.2882379138007929,-6.6820998063839125,0.9653951303559904,0.7733076107688203
2023-02-28,1,0.6666666666666599,2.652879375012951,-1.986212708346291,0.971831097891697,0.7938225288803117
2023-03-31,1,-2.1190401994390817,0.990770572418298,-3.1098107718573798,0.9512376062567217,0.8016874888936846
2023-04-28,1,4.231040150270027,3.9907576563143365,0.24028249395569024,0.9914848513019111,0.8336808937364234
2023-05-31,1,37.3,0.9836561743341354,36.31634382566586,1.361308700837524,0.8418814473219057
2023-06-30,1,1.9746121297602226,4.008532609543414,-2.033920479783191,1.388189267567743,0.8756285396715003
2023-07-31,1,-13.551401869158875,-2.898677343138667,-10.652724526020208,1.200070161215105,0.8502468935819866
2023-08-31,1,-8.340971585701196,-5.771690783837391,-2.5692808018638047,1.0999726500596745,0.8011732719852513
2023-09-29,1,-8.066429418742583,-3.924026498233313,-4.14240292050927,1.0112441326171384,0.7697350204957872
2023-10-31,1,-3.9000000000000035,11.295045193350294,-15.195045193350298,0.9718056114450699,0.8566769389298305
2023-11-30,1,-8.342728297632473,2.0403977454255706,-10.383126043058043,0.8907305097010618,0.8741565558773357
2023-12-29,0,0.0,-5.9575637974149664,5.9575637974149664,0.8907305097010618,0.8220781213716579
2024-01-31,1,15.06696428571429,5.7827310989992275,9.284233186715063,1.0249365574796816,0.8696166885542854
2024-02-29,1,1.6819571865443361,4.193221211341358,-2.511264024797022,1.0421755515657312,0.906081639996108
2024-03-29,1,-8.462867012089815,-2.2929917753756413,-6.169875236714173,0.9539776206042099,0.8853052625128085
2024-04-30,1,37.61980830670926,-1.1129023870196098,38.73271069372887,1.3128621727644196,0.8754526791138932
2024-05-31,1,-1.2718600953895098,5.973404336018695,-7.245264431408205,1.2961644026815653,0.9277470074078744
2024-06-28,1,-8.92857142857143,-2.1313022281633565,-6.797269200408074,1.1804354381564255,0.9079739147672715
2024-07-31,1,-17.310924369747905,-3.2370997838083726,-14.073824585939533,0.9760911522234644,0.8785818931353038
2024-08-30,1,-8.074534161490687,-2.9895561845859286,-5.084977976904758,0.8972763386898928,0.8523161938124252
2024-09-30,1,-7.295719844357973,-0.16581381807525553,-7.129906026282717,0.8318135707893656,0.8509029357893911
2024-10-31,1,-12.291666666666668,-3.9774661111437126,-8.314200555522955,0.7295698193798393,0.8170585598796412
2024-11-29,1,-12.040816326530612,-0.5696462818262749,-11.471170044704337,0.6417236574545118,0.8124042161729434
2024-12-31,1,-3.809523809523807,5.720382247894351,-9.529906057418158,0.6172770419324352,0.8588768427360458
2025-01-31,1,3.69030390738061,1.6191501447939904,2.0711537625866194,0.6400564407302313,0.8727833483788086
2025-02-28,2,7.649138398604194,-1.0628637307622535,8.712002129366446,0.6890152437108666,0.8635068507207578
2025-03-31,1,-8.465608465608465,3.0425775456245585,-11.508186011233024,0.6306859109099467,0.8897797162657174
2025-04-30,1,-8.025477707006367,9.991355740609631,-18.016833447615998,0.5800703537286389,0.9786807730256122
2025-05-30,1,-1.0615711252653925,15.517094381447682,-16.578665506713076,0.5739124943472309,1.1305435922690783
2025-06-30,1,1.590668080593849,5.950125337760848,-4.359457257166999,0.5830415372053522,1.1978123530071123
2025-07-31,1,-7.036247334754798,-2.252082922500498,-4.7841644122543,0.5420172925832273,1.1708366255614377
2025-08-29,1,16.916666666666668,7.4886770600217645,9.427989606644903,0.6337085512452233,1.25851679935019
2025-09-30,1,18.230088495575224,17.574315248496177,0.6557732470790469,0.7492341809412553,1.4796925091232764
2025-10-31,1,-11.943793911007027,-2.740596469872192,-9.203197441134837,0.6597471944588102,1.4391401084532807
2025-11-28,2,-2.032229656521667,9.755029172895568,-11.787258829417235,0.6463396163149486,1.579528645871739
2025-12-31,1,28.13852813852814,17.45302159144031,10.68550654708783,0.8282100711221854,1.8552041214787185
2026-01-30,1,-9.615384615384615,0.526571675765064,-10.141956291149679,0.7485744873604367,1.8649731009100514
2026-02-27,1,-18.99313501144165,-12.258393082783359,-6.734741928658293,0.6063967243148618,1.6363573673123233
2026-03-31,5,16.300003369155903,30.607070615106302,-14.3070672459504,0.7052394108086354,2.1371984222411005
2026-04-30,0,0.0,0.0,0.0,0.7052394108086354,2.1371984222411005
